speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	context	word	filename	status
KFN	a	a	0.062	5250	---	656	1378	2642	6.22	10.47	14.77	47.511	---	čenčela 	KFN_1967_Language_flk	Auto
KFN	a	a	0.061	5250	---	707	1327	2517	6.59	10.23	14.44	47.573	---	ark 	KFN_1967_Language_flk	Auto
KFN	a	a	0.102	5250	---	687	1483	2777	6.44	10.94	15.11	47.878	---	čare. 	KFN_1967_Language_flk	Auto
KFN	e	e	0.196	5550	---	511	1969	2674	5.06	12.80	14.85	48.045	---	čare. 	KFN_1967_Language_flk	Auto
KFN	a	a	0.074	5250	---	605	1285	2576	5.82	10.03	14.60	49.802	---	Našaqqet 	KFN_1967_Language_flk	Auto
KFN	a	a	0.106	5250	---	719	1367	2549	6.68	10.42	14.53	49.979	---	Našaqqet 	KFN_1967_Language_flk	Auto
KFN	ə	ə	0.106	5250	---	516	1214	1966	5.09	9.68	12.78	50.179	---	Našaqqet 	KFN_1967_Language_flk	Auto
KFN	a	a	0.060	5250	---	669	1569	2866	6.31	11.30	15.33	51.055	---	qajmnʼa 	KFN_1967_Language_flk	Auto
KFN	u	u	0.058	4750	---	413	847	1445	4.19	7.56	10.77	51.903	---	qun 	KFN_1967_Language_flk	Auto
KFN	a:	a	0.145	5250	---	774	1210	2490	7.07	9.66	14.37	52.042	---	qun 	KFN_1967_Language_flk	Auto
KFN	ä	ä	0.072	5550	---	636	1810	3137	6.07	12.24	15.95	52.272	---	tänulelat. 	KFN_1967_Language_flk	Auto
KFN	u	u	0.065	4750	---	408	1246	2173	4.15	9.84	13.45	52.409	---	tänulelat. 	KFN_1967_Language_flk	Auto
KFN	e	e	0.076	5550	---	448	1857	1964	4.51	12.40	12.78	52.549	---	tänulelat. 	KFN_1967_Language_flk	Auto
KFN	a	a	0.117	5250	---	674	1074	1358	6.35	8.93	10.38	52.710	---	tänulelat. 	KFN_1967_Language_flk	Auto
KFN	a	a	0.097	5250	---	733	1222	2332	6.78	9.72	13.93	53.755	---	Na 	KFN_1967_Language_flk	Auto
KFN	u	u	0.156	4750	---	269	544	1456	2.82	5.33	10.82	53.940	---	Na 	KFN_1967_Language_flk	Auto
KFN	i	i	0.043	5750	---	217	2371	2759	2.29	14.04	15.07	54.258	---	(ušitet) 	KFN_1967_Language_flk	Auto
KFN	e	e	0.081	5550	---	493	1886	2918	4.90	12.51	15.45	54.392	---	(ušitet) 	KFN_1967_Language_flk	Auto
KFN	a	a	0.049	5250	---	725	1339	2521	6.73	10.29	14.45	54.736	---	tak 	KFN_1967_Language_flk	Auto
KFN	a	a	0.101	5250	---	673	1415	2633	6.34	10.64	14.75	55.068	---	čʼaǯat, 	KFN_1967_Language_flk	Auto
KFN	a	a	0.274	5250	---	709	1403	2573	6.61	10.59	14.59	55.270	---	čʼaǯat, 	KFN_1967_Language_flk	Auto
KFN	o	o	0.119	4950	---	525	779	1675	5.17	7.10	11.73	55.950	---		KFN_1967_Language_flk	Auto
KFN	a	a	0.140	5250	---	712	1071	2261	6.63	8.92	13.72	56.223	---	olga 	KFN_1967_Language_flk	Auto
KFN	a	a	0.089	5250	---	675	1226	2037	6.36	9.74	13.02	56.432	---	wargelat. 	KFN_1967_Language_flk	Auto
KFN	e	e	0.126	5550	---	459	1978	3234	4.60	12.82	16.15	56.682	---	wargelat. 	KFN_1967_Language_flk	Auto
KFN	a	a	0.241	5250	---	634	1327	1929	6.04	10.24	12.66	56.893	---	wargelat. 	KFN_1967_Language_flk	Auto
KFN	e	e	0.239	5550	---	470	1599	1970	4.70	11.43	12.80	58.266	---		KFN_1967_Language_flk	Auto
KFN	i	i	0.056	5750	---	350	2050	3211	3.61	13.06	16.10	58.632	---	(Elʼǯik 	KFN_1967_Language_flk	Auto
KFN	ə	ə	0.072	5250	---	520	1411	2185	5.13	10.62	13.49	58.979	---	qwelʼgit) 	KFN_1967_Language_flk	Auto
KFN	i	i	0.214	5750	---	427	1959	3154	4.32	12.76	15.98	59.232	---	qwelʼgit) 	KFN_1967_Language_flk	Auto
KFN	e	e	0.335	5550	---	476	1798	2818	4.75	12.19	15.21	60.299	---	še 	KFN_1967_Language_flk	Auto
KFN	e	e	0.149	5550	---	493	1887	3190	4.90	12.51	16.06	60.900	---	memɨndɨt. 	KFN_1967_Language_flk	Auto
KFN	ɨ	ɨ	0.059	5250	---	496	1371	2130	4.93	10.44	13.32	61.125	---	memɨndɨt. 	KFN_1967_Language_flk	Auto
KFN	ɨ	ɨ	0.116	5250	---	371	1873	2257	3.80	12.46	13.71	61.372	---	memɨndɨt. 	KFN_1967_Language_flk	Auto
